file,online_backend,offline_backend,update_index,stream_position,component,prefix_position,event_id,activity,event_object_count,component_object_count,component_event_count,merged,wall_seconds,feasible,cost,control_flow_cost,data_cost,object_cost,encode_seconds,solve_seconds,certification_route,experiment,combo,repetition,partial
12_component_merge_stress.jsonocel,symbolic,smt,3,3,3,3,2,ship,4,4,3,True,0.0024114999687299132,True,4,4,0,0,0.0,0.0,direct,comprehensive_online,symbolic_smt,1,
00_fit_all_object_guards.jsonocel,symbolic,smt,1,1,1,1,0,place order,3,3,1,False,0.19090950000099838,True,0,0,0,0,0.042882699985057116,0.0012743000406771898,direct,object_attributes_online,symbolic_smt,1,
00_fit_all_object_guards.jsonocel,symbolic,smt,2,2,1,2,1,pick item,2,3,2,False,0.07687530003022403,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
00_fit_all_object_guards.jsonocel,symbolic,smt,3,3,1,3,2,pick item,2,3,3,False,0.04221669991966337,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
00_fit_all_object_guards.jsonocel,symbolic,smt,4,4,1,4,3,pay bank transfer,3,3,4,False,0.3796229000436142,True,0,0,0,0,0.037869300111196935,0.0014121000422164798,direct,object_attributes_online,symbolic_smt,1,
00_fit_all_object_guards.jsonocel,symbolic,smt,5,5,1,5,4,ship,3,3,5,False,0.40321070002391934,True,0,0,0,0,0.055757900001481175,0.001451499992981553,direct,object_attributes_online,symbolic_smt,1,
01_violate_order_vip.jsonocel,symbolic,smt,1,1,1,1,0,place order,3,3,1,False,0.3621940999291837,True,1,0,1,0,0.04514429997652769,0.0012466999469324946,direct,object_attributes_online,symbolic_smt,1,
01_violate_order_vip.jsonocel,symbolic,smt,2,2,1,2,1,pick item,2,3,2,False,0.04162699996959418,True,1,0,1,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
01_violate_order_vip.jsonocel,symbolic,smt,3,3,1,3,2,pick item,2,3,3,False,0.04292070004157722,True,1,0,1,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
01_violate_order_vip.jsonocel,symbolic,smt,4,4,1,4,3,pay bank transfer,3,3,4,False,0.3918474999954924,True,1,0,1,0,0.040956799988634884,0.0014828999992460012,direct,object_attributes_online,symbolic_smt,1,
01_violate_order_vip.jsonocel,symbolic,smt,5,5,1,5,4,ship,3,3,5,False,0.419810299994424,True,1,0,1,0,0.04161210008896887,0.0018112000543624163,direct,object_attributes_online,symbolic_smt,1,
02_violate_order_budget.jsonocel,symbolic,smt,1,1,1,1,0,place order,3,3,1,False,0.18438719992991537,True,0,0,0,0,0.04359889996703714,0.0012251000152900815,direct,object_attributes_online,symbolic_smt,1,
02_violate_order_budget.jsonocel,symbolic,smt,2,2,1,2,1,pick item,2,3,2,False,0.07587909989524633,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
02_violate_order_budget.jsonocel,symbolic,smt,3,3,1,3,2,pick item,2,3,3,False,0.041140299988910556,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
02_violate_order_budget.jsonocel,symbolic,smt,4,4,1,4,3,pay bank transfer,3,3,4,False,0.36974460002966225,True,1,0,1,0,0.038987600011751056,0.0030137000139802694,full_exact,object_attributes_online,symbolic_smt,1,
02_violate_order_budget.jsonocel,symbolic,smt,5,5,1,5,4,ship,3,3,5,False,0.4047784999711439,True,1,0,1,0,0.05358549999073148,0.0013832999393343925,direct,object_attributes_online,symbolic_smt,1,
03_violate_order_priority.jsonocel,symbolic,smt,1,1,1,1,0,place order,3,3,1,False,0.19761099992319942,True,0,0,0,0,0.04494599997997284,0.0012338999658823013,direct,object_attributes_online,symbolic_smt,1,
03_violate_order_priority.jsonocel,symbolic,smt,2,2,1,2,1,pick item,2,3,2,False,0.07633459998760372,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
03_violate_order_priority.jsonocel,symbolic,smt,3,3,1,3,2,pick item,2,3,3,False,0.042946500005200505,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
03_violate_order_priority.jsonocel,symbolic,smt,4,4,1,4,3,pay bank transfer,3,3,4,False,0.3678946999134496,True,0,0,0,0,0.03852070006541908,0.0014476999640464783,direct,object_attributes_online,symbolic_smt,1,
03_violate_order_priority.jsonocel,symbolic,smt,5,5,1,5,4,ship,3,3,5,False,0.4175860999384895,True,1,0,1,0,0.05762980005238205,0.004011100041680038,full_exact,object_attributes_online,symbolic_smt,1,
