experiment,combo,file,product_count,runs,online_ok_runs,offline_ok_runs,offline_timeout_runs,online_oom_runs,offline_oom_runs,prefix_cost_values,offline_cost_values,offline_semantics,online_total_seconds_n,online_total_seconds_min,online_total_seconds_max,online_total_seconds_mean,online_total_seconds_median,online_total_seconds_stdev,online_total_seconds_q1,online_total_seconds_q3,online_avg_seconds_n,online_avg_seconds_min,online_avg_seconds_max,online_avg_seconds_mean,online_avg_seconds_median,online_avg_seconds_stdev,online_avg_seconds_q1,online_avg_seconds_q3,online_max_seconds_n,online_max_seconds_min,online_max_seconds_max,online_max_seconds_mean,online_max_seconds_median,online_max_seconds_stdev,online_max_seconds_q1,online_max_seconds_q3,offline_total_seconds_n,offline_total_seconds_min,offline_total_seconds_max,offline_total_seconds_mean,offline_total_seconds_median,offline_total_seconds_stdev,offline_total_seconds_q1,offline_total_seconds_q3,conformance_total_seconds_n,conformance_total_seconds_min,conformance_total_seconds_max,conformance_total_seconds_mean,conformance_total_seconds_median,conformance_total_seconds_stdev,conformance_total_seconds_q1,conformance_total_seconds_q3,wall_seconds_n,wall_seconds_min,wall_seconds_max,wall_seconds_mean,wall_seconds_median,wall_seconds_stdev,wall_seconds_q1,wall_seconds_q3
component_scale_online,symbolic_smt,orders_01_interleaved.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,1.0854442999698222,1.0854442999698222,1.0854442999698222,1.0854442999698222,0.0,1.0854442999698222,1.0854442999698222,1,0.21708885999396443,0.21708885999396443,0.21708885999396443,0.21708885999396443,0.0,0.21708885999396443,0.21708885999396443,1,0.41920080001000315,0.41920080001000315,0.41920080001000315,0.41920080001000315,0.0,0.41920080001000315,0.41920080001000315,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0854442999698222,1.0854442999698222,1.0854442999698222,1.0854442999698222,0.0,1.0854442999698222,1.0854442999698222,1,1.500302700093016,1.500302700093016,1.500302700093016,1.500302700093016,0.0,1.500302700093016,1.500302700093016
component_scale_online,symbolic_smt,orders_02_interleaved.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,2.1449830998899415,2.1449830998899415,2.1449830998899415,2.1449830998899415,0.0,2.1449830998899415,2.1449830998899415,1,0.21449830998899416,0.21449830998899416,0.21449830998899416,0.21449830998899416,0.0,0.21449830998899416,0.21449830998899416,1,0.4159876999910921,0.4159876999910921,0.4159876999910921,0.4159876999910921,0.0,0.4159876999910921,0.4159876999910921,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1449830998899415,2.1449830998899415,2.1449830998899415,2.1449830998899415,0.0,2.1449830998899415,2.1449830998899415,1,2.6235153999878094,2.6235153999878094,2.6235153999878094,2.6235153999878094,0.0,2.6235153999878094,2.6235153999878094
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,9.242570800008252,9.242570800008252,9.242570800008252,9.242570800008252,0.0,9.242570800008252,9.242570800008252,1,0.3697028320003301,0.3697028320003301,0.3697028320003301,0.3697028320003301,0.0,0.3697028320003301,0.3697028320003301,1,1.0879918000428006,1.0879918000428006,1.0879918000428006,1.0879918000428006,0.0,1.0879918000428006,1.0879918000428006,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.242570800008252,9.242570800008252,9.242570800008252,9.242570800008252,0.0,9.242570800008252,9.242570800008252,1,9.854767699958757,9.854767699958757,9.854767699958757,9.854767699958757,0.0,9.854767699958757,9.854767699958757
component_scale_online,symbolic_smt,orders_10_interleaved.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,17.305056300363503,17.305056300363503,17.305056300363503,17.305056300363503,0.0,17.305056300363503,17.305056300363503,1,0.34610112600727005,0.34610112600727005,0.34610112600727005,0.34610112600727005,0.0,0.34610112600727005,0.34610112600727005,1,1.0253590000793338,1.0253590000793338,1.0253590000793338,1.0253590000793338,0.0,1.0253590000793338,1.0253590000793338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17.305056300363503,17.305056300363503,17.305056300363503,17.305056300363503,0.0,17.305056300363503,17.305056300363503,1,19.34491230000276,19.34491230000276,19.34491230000276,19.34491230000276,0.0,19.34491230000276,19.34491230000276
component_scale_online,symbolic_smt,orders_20_interleaved.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,40.37552149978001,40.37552149978001,40.37552149978001,40.37552149978001,0.0,40.37552149978001,40.37552149978001,1,0.4037552149978001,0.4037552149978001,0.4037552149978001,0.4037552149978001,0.0,0.4037552149978001,0.4037552149978001,1,1.059242199989967,1.059242199989967,1.059242199989967,1.059242199989967,0.0,1.059242199989967,1.059242199989967,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40.37552149978001,40.37552149978001,40.37552149978001,40.37552149978001,0.0,40.37552149978001,40.37552149978001,1,42.90660700004082,42.90660700004082,42.90660700004082,42.90660700004082,0.0,42.90660700004082,42.90660700004082
components_online,symbolic_smt,component_001_events_0030_objects_0020.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,0.9710119999945164,0.9710119999945164,0.9710119999945164,0.9710119999945164,0.0,0.9710119999945164,0.9710119999945164,1,0.03236706666648388,0.03236706666648388,0.03236706666648388,0.03236706666648388,0.0,0.03236706666648388,0.03236706666648388,1,0.1208316000411287,0.1208316000411287,0.1208316000411287,0.1208316000411287,0.0,0.1208316000411287,0.1208316000411287,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9710119999945164,0.9710119999945164,0.9710119999945164,0.9710119999945164,0.0,0.9710119999945164,0.9710119999945164,1,1.4928682000609115,1.4928682000609115,1.4928682000609115,1.4928682000609115,0.0,1.4928682000609115,1.4928682000609115
components_online,symbolic_smt,component_002_events_0028_objects_0013.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,0.8018463006010279,0.8018463006010279,0.8018463006010279,0.8018463006010279,0.0,0.8018463006010279,0.8018463006010279,1,0.028637367878608138,0.028637367878608138,0.028637367878608138,0.028637367878608138,0.0,0.028637367878608138,0.028637367878608138,1,0.13727269996888936,0.13727269996888936,0.13727269996888936,0.13727269996888936,0.0,0.13727269996888936,0.13727269996888936,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8018463006010279,0.8018463006010279,0.8018463006010279,0.8018463006010279,0.0,0.8018463006010279,0.8018463006010279,1,1.3851954999845475,1.3851954999845475,1.3851954999845475,1.3851954999845475,0.0,1.3851954999845475,1.3851954999845475
components_online,symbolic_smt,component_003_events_0022_objects_0011.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,0.6317583996569738,0.6317583996569738,0.6317583996569738,0.6317583996569738,0.0,0.6317583996569738,0.6317583996569738,1,0.028716290893498808,0.028716290893498808,0.028716290893498808,0.028716290893498808,0.0,0.028716290893498808,0.028716290893498808,1,0.16398209996987134,0.16398209996987134,0.16398209996987134,0.16398209996987134,0.0,0.16398209996987134,0.16398209996987134,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6317583996569738,0.6317583996569738,0.6317583996569738,0.6317583996569738,0.0,0.6317583996569738,0.6317583996569738,1,1.184847000055015,1.184847000055015,1.184847000055015,1.184847000055015,0.0,1.184847000055015,1.184847000055015
components_online,symbolic_smt,component_004_events_0013_objects_0009.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,0.40787040011491627,0.40787040011491627,0.40787040011491627,0.40787040011491627,0.0,0.40787040011491627,0.40787040011491627,1,0.031374646162685864,0.031374646162685864,0.031374646162685864,0.031374646162685864,0.0,0.031374646162685864,0.031374646162685864,1,0.17141069995705038,0.17141069995705038,0.17141069995705038,0.17141069995705038,0.0,0.17141069995705038,0.17141069995705038,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.40787040011491627,0.40787040011491627,0.40787040011491627,0.40787040011491627,0.0,0.40787040011491627,0.40787040011491627,1,0.7772437001112849,0.7772437001112849,0.7772437001112849,0.7772437001112849,0.0,0.7772437001112849,0.7772437001112849
components_online,symbolic_smt,component_005_events_0035_objects_0016.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,1.078729399596341,1.078729399596341,1.078729399596341,1.078729399596341,0.0,1.078729399596341,1.078729399596341,1,0.030820839988466884,0.030820839988466884,0.030820839988466884,0.030820839988466884,0.0,0.030820839988466884,0.030820839988466884,1,0.15171320002991706,0.15171320002991706,0.15171320002991706,0.15171320002991706,0.0,0.15171320002991706,0.15171320002991706,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.078729399596341,1.078729399596341,1.078729399596341,1.078729399596341,0.0,1.078729399596341,1.078729399596341,1,2.7631061000283808,2.7631061000283808,2.7631061000283808,2.7631061000283808,0.0,2.7631061000283808,2.7631061000283808
