experiment,combo,file,product_count,update_index,activity,merged,component_object_count,event_object_count,wall_seconds_n,wall_seconds_min,wall_seconds_max,wall_seconds_mean,wall_seconds_median,wall_seconds_stdev,wall_seconds_q1,wall_seconds_q3
component_scale_online,symbolic_smt,orders_01_interleaved.jsonocel,,1,place order,False,3,3,1,0.1817526000086218,0.1817526000086218,0.1817526000086218,0.1817526000086218,0.0,0.1817526000086218,0.1817526000086218
component_scale_online,symbolic_smt,orders_01_interleaved.jsonocel,,2,pick item,False,3,2,1,0.07712899998296052,0.07712899998296052,0.07712899998296052,0.07712899998296052,0.0,0.07712899998296052,0.07712899998296052
component_scale_online,symbolic_smt,orders_01_interleaved.jsonocel,,3,pick item,False,3,2,1,0.03892169997561723,0.03892169997561723,0.03892169997561723,0.03892169997561723,0.0,0.03892169997561723,0.03892169997561723
component_scale_online,symbolic_smt,orders_01_interleaved.jsonocel,,4,pay bank transfer,False,3,3,1,0.36844019999261945,0.36844019999261945,0.36844019999261945,0.36844019999261945,0.0,0.36844019999261945,0.36844019999261945
component_scale_online,symbolic_smt,orders_01_interleaved.jsonocel,,5,ship,False,3,3,1,0.41920080001000315,0.41920080001000315,0.41920080001000315,0.41920080001000315,0.0,0.41920080001000315,0.41920080001000315
component_scale_online,symbolic_smt,orders_02_interleaved.jsonocel,,1,place order,False,3,3,1,0.1858867999399081,0.1858867999399081,0.1858867999399081,0.1858867999399081,0.0,0.1858867999399081,0.1858867999399081
component_scale_online,symbolic_smt,orders_02_interleaved.jsonocel,,2,place order,False,3,3,1,0.1947193999076262,0.1947193999076262,0.1947193999076262,0.1947193999076262,0.0,0.1947193999076262,0.1947193999076262
component_scale_online,symbolic_smt,orders_02_interleaved.jsonocel,,3,pick item,False,3,2,1,0.07493580004666,0.07493580004666,0.07493580004666,0.07493580004666,0.0,0.07493580004666,0.07493580004666
component_scale_online,symbolic_smt,orders_02_interleaved.jsonocel,,4,pick item,False,3,2,1,0.0407206000527367,0.0407206000527367,0.0407206000527367,0.0407206000527367,0.0,0.0407206000527367,0.0407206000527367
component_scale_online,symbolic_smt,orders_02_interleaved.jsonocel,,5,pick item,False,3,2,1,0.040675099939107895,0.040675099939107895,0.040675099939107895,0.040675099939107895,0.0,0.040675099939107895,0.040675099939107895
component_scale_online,symbolic_smt,orders_02_interleaved.jsonocel,,6,pick item,False,3,2,1,0.04435879993252456,0.04435879993252456,0.04435879993252456,0.04435879993252456,0.0,0.04435879993252456,0.04435879993252456
component_scale_online,symbolic_smt,orders_02_interleaved.jsonocel,,7,pay bank transfer,False,3,3,1,0.36479100002907217,0.36479100002907217,0.36479100002907217,0.36479100002907217,0.0,0.36479100002907217,0.36479100002907217
component_scale_online,symbolic_smt,orders_02_interleaved.jsonocel,,8,pay bank transfer,False,3,3,1,0.37723209999967366,0.37723209999967366,0.37723209999967366,0.37723209999967366,0.0,0.37723209999967366,0.37723209999967366
component_scale_online,symbolic_smt,orders_02_interleaved.jsonocel,,9,ship,False,3,3,1,0.4159876999910921,0.4159876999910921,0.4159876999910921,0.4159876999910921,0.0,0.4159876999910921,0.4159876999910921
component_scale_online,symbolic_smt,orders_02_interleaved.jsonocel,,10,ship,False,3,3,1,0.40567580005154014,0.40567580005154014,0.40567580005154014,0.40567580005154014,0.0,0.40567580005154014,0.40567580005154014
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,1,place order,False,3,3,1,0.18712789996061474,0.18712789996061474,0.18712789996061474,0.18712789996061474,0.0,0.18712789996061474,0.18712789996061474
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,2,place order,False,3,3,1,0.19735249993391335,0.19735249993391335,0.19735249993391335,0.19735249993391335,0.0,0.19735249993391335,0.19735249993391335
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,3,place order,False,3,3,1,0.18432740005664527,0.18432740005664527,0.18432740005664527,0.18432740005664527,0.0,0.18432740005664527,0.18432740005664527
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,4,place order,False,3,3,1,0.18488479999359697,0.18488479999359697,0.18488479999359697,0.18488479999359697,0.0,0.18488479999359697,0.18488479999359697
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,5,place order,False,3,3,1,0.19679850002285093,0.19679850002285093,0.19679850002285093,0.19679850002285093,0.0,0.19679850002285093,0.19679850002285093
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,6,pick item,False,3,2,1,0.07858770003076643,0.07858770003076643,0.07858770003076643,0.07858770003076643,0.0,0.07858770003076643,0.07858770003076643
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,7,pick item,False,3,2,1,0.040689899935387075,0.040689899935387075,0.040689899935387075,0.040689899935387075,0.0,0.040689899935387075,0.040689899935387075
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,8,pick item,False,3,2,1,0.0457464000210166,0.0457464000210166,0.0457464000210166,0.0457464000210166,0.0,0.0457464000210166,0.0457464000210166
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,9,pick item,False,3,2,1,0.04362320003565401,0.04362320003565401,0.04362320003565401,0.04362320003565401,0.0,0.04362320003565401,0.04362320003565401
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,10,pick item,False,3,2,1,0.0416743999812752,0.0416743999812752,0.0416743999812752,0.0416743999812752,0.0,0.0416743999812752,0.0416743999812752
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,11,pick item,False,3,2,1,0.05571129999589175,0.05571129999589175,0.05571129999589175,0.05571129999589175,0.0,0.05571129999589175,0.05571129999589175
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,12,pick item,False,3,2,1,0.04148940008599311,0.04148940008599311,0.04148940008599311,0.04148940008599311,0.0,0.04148940008599311,0.04148940008599311
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,13,pick item,False,3,2,1,0.04410139995161444,0.04410139995161444,0.04410139995161444,0.04410139995161444,0.0,0.04410139995161444,0.04410139995161444
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,14,pick item,False,3,2,1,0.043078499962575734,0.043078499962575734,0.043078499962575734,0.043078499962575734,0.0,0.043078499962575734,0.043078499962575734
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,15,pick item,False,3,2,1,0.04285710002295673,0.04285710002295673,0.04285710002295673,0.04285710002295673,0.0,0.04285710002295673,0.04285710002295673
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,16,pay bank transfer,False,3,3,1,0.38428679993376136,0.38428679993376136,0.38428679993376136,0.38428679993376136,0.0,0.38428679993376136,0.38428679993376136
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,17,pay bank transfer,False,3,3,1,0.37891319999471307,0.37891319999471307,0.37891319999471307,0.37891319999471307,0.0,0.37891319999471307,0.37891319999471307
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,18,pay bank transfer,False,3,3,1,0.35633209999650717,0.35633209999650717,0.35633209999650717,0.35633209999650717,0.0,0.35633209999650717,0.35633209999650717
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,19,pay bank transfer,False,3,3,1,0.6067079999484122,0.6067079999484122,0.6067079999484122,0.6067079999484122,0.0,0.6067079999484122,0.6067079999484122
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,20,pay bank transfer,False,3,3,1,0.9088649000041187,0.9088649000041187,0.9088649000041187,0.9088649000041187,0.0,0.9088649000041187,0.9088649000041187
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,21,ship,False,3,3,1,1.0478946999646723,1.0478946999646723,1.0478946999646723,1.0478946999646723,0.0,1.0478946999646723,1.0478946999646723
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,22,ship,False,3,3,1,1.0703224000753835,1.0703224000753835,1.0703224000753835,1.0703224000753835,0.0,1.0703224000753835,1.0703224000753835
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,23,ship,False,3,3,1,1.0879918000428006,1.0879918000428006,1.0879918000428006,1.0879918000428006,0.0,1.0879918000428006,1.0879918000428006
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,24,ship,False,3,3,1,0.9219149000709876,0.9219149000709876,0.9219149000709876,0.9219149000709876,0.0,0.9219149000709876,0.9219149000709876
component_scale_online,symbolic_smt,orders_05_interleaved.jsonocel,,25,ship,False,3,3,1,1.0512915999861434,1.0512915999861434,1.0512915999861434,1.0512915999861434,0.0,1.0512915999861434,1.0512915999861434
component_scale_online,symbolic_smt,orders_10_interleaved.jsonocel,,1,place order,False,3,3,1,0.19265440001618117,0.19265440001618117,0.19265440001618117,0.19265440001618117,0.0,0.19265440001618117,0.19265440001618117
component_scale_online,symbolic_smt,orders_10_interleaved.jsonocel,,2,place order,False,3,3,1,0.19980139995459467,0.19980139995459467,0.19980139995459467,0.19980139995459467,0.0,0.19980139995459467,0.19980139995459467
component_scale_online,symbolic_smt,orders_10_interleaved.jsonocel,,3,place order,False,3,3,1,0.18557650002185255,0.18557650002185255,0.18557650002185255,0.18557650002185255,0.0,0.18557650002185255,0.18557650002185255
component_scale_online,symbolic_smt,orders_10_interleaved.jsonocel,,4,place order,False,3,3,1,0.20180240005720407,0.20180240005720407,0.20180240005720407,0.20180240005720407,0.0,0.20180240005720407,0.20180240005720407
component_scale_online,symbolic_smt,orders_10_interleaved.jsonocel,,5,place order,False,3,3,1,0.21787150006275624,0.21787150006275624,0.21787150006275624,0.21787150006275624,0.0,0.21787150006275624,0.21787150006275624
component_scale_online,symbolic_smt,orders_10_interleaved.jsonocel,,6,place order,False,3,3,1,0.19229849998373538,0.19229849998373538,0.19229849998373538,0.19229849998373538,0.0,0.19229849998373538,0.19229849998373538
