experiment,combo,file,product_count,update_index,activity,merged,component_object_count,event_object_count,wall_seconds_n,wall_seconds_min,wall_seconds_max,wall_seconds_mean,wall_seconds_median,wall_seconds_stdev,wall_seconds_q1,wall_seconds_q3
component_scale_online,smt_smt,orders_01_interleaved.jsonocel,,1,place order,False,3,3,1,0.3876510000000053,0.3876510000000053,0.3876510000000053,0.3876510000000053,0.0,0.3876510000000053,0.3876510000000053
component_scale_online,smt_smt,orders_01_interleaved.jsonocel,,2,pick item,False,3,2,1,0.41977380000000153,0.41977380000000153,0.41977380000000153,0.41977380000000153,0.0,0.41977380000000153,0.41977380000000153
component_scale_online,smt_smt,orders_01_interleaved.jsonocel,,3,pick item,False,3,2,1,0.44442329999999686,0.44442329999999686,0.44442329999999686,0.44442329999999686,0.0,0.44442329999999686,0.44442329999999686
component_scale_online,smt_smt,orders_01_interleaved.jsonocel,,4,pay bank transfer,False,3,3,1,0.4957243000000062,0.4957243000000062,0.4957243000000062,0.4957243000000062,0.0,0.4957243000000062,0.4957243000000062
component_scale_online,smt_smt,orders_01_interleaved.jsonocel,,5,ship,False,3,3,1,0.5464807000000036,0.5464807000000036,0.5464807000000036,0.5464807000000036,0.0,0.5464807000000036,0.5464807000000036
component_scale_online,smt_smt,orders_02_interleaved.jsonocel,,1,place order,False,3,3,1,0.42341499999999144,0.42341499999999144,0.42341499999999144,0.42341499999999144,0.0,0.42341499999999144,0.42341499999999144
component_scale_online,smt_smt,orders_02_interleaved.jsonocel,,2,place order,False,3,3,1,0.36555640000000267,0.36555640000000267,0.36555640000000267,0.36555640000000267,0.0,0.36555640000000267,0.36555640000000267
component_scale_online,smt_smt,orders_02_interleaved.jsonocel,,3,pick item,False,3,2,1,0.4296839999999946,0.4296839999999946,0.4296839999999946,0.4296839999999946,0.0,0.4296839999999946,0.4296839999999946
component_scale_online,smt_smt,orders_02_interleaved.jsonocel,,4,pick item,False,3,2,1,0.3875445000000042,0.3875445000000042,0.3875445000000042,0.3875445000000042,0.0,0.3875445000000042,0.3875445000000042
component_scale_online,smt_smt,orders_02_interleaved.jsonocel,,5,pick item,False,3,2,1,0.48354750000000024,0.48354750000000024,0.48354750000000024,0.48354750000000024,0.0,0.48354750000000024,0.48354750000000024
component_scale_online,smt_smt,orders_02_interleaved.jsonocel,,6,pick item,False,3,2,1,0.43647950000000435,0.43647950000000435,0.43647950000000435,0.43647950000000435,0.0,0.43647950000000435,0.43647950000000435
component_scale_online,smt_smt,orders_02_interleaved.jsonocel,,7,pay bank transfer,False,3,3,1,0.4822913,0.4822913,0.4822913,0.4822913,0.0,0.4822913,0.4822913
component_scale_online,smt_smt,orders_02_interleaved.jsonocel,,8,pay bank transfer,False,3,3,1,0.5299603999999931,0.5299603999999931,0.5299603999999931,0.5299603999999931,0.0,0.5299603999999931,0.5299603999999931
component_scale_online,smt_smt,orders_02_interleaved.jsonocel,,9,ship,False,3,3,1,0.6361657000000065,0.6361657000000065,0.6361657000000065,0.6361657000000065,0.0,0.6361657000000065,0.6361657000000065
component_scale_online,smt_smt,orders_02_interleaved.jsonocel,,10,ship,False,3,3,1,0.6221165000000042,0.6221165000000042,0.6221165000000042,0.6221165000000042,0.0,0.6221165000000042,0.6221165000000042
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,1,place order,False,3,3,1,0.3982944000000117,0.3982944000000117,0.3982944000000117,0.3982944000000117,0.0,0.3982944000000117,0.3982944000000117
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,2,place order,False,3,3,1,0.39188529999999844,0.39188529999999844,0.39188529999999844,0.39188529999999844,0.0,0.39188529999999844,0.39188529999999844
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,3,place order,False,3,3,1,0.3796563000000077,0.3796563000000077,0.3796563000000077,0.3796563000000077,0.0,0.3796563000000077,0.3796563000000077
