experiment,combo,file,product_count,runs,online_ok_runs,offline_ok_runs,offline_timeout_runs,online_oom_runs,offline_oom_runs,prefix_cost_values,offline_cost_values,offline_semantics,online_total_seconds_n,online_total_seconds_min,online_total_seconds_max,online_total_seconds_mean,online_total_seconds_median,online_total_seconds_stdev,online_total_seconds_q1,online_total_seconds_q3,online_avg_seconds_n,online_avg_seconds_min,online_avg_seconds_max,online_avg_seconds_mean,online_avg_seconds_median,online_avg_seconds_stdev,online_avg_seconds_q1,online_avg_seconds_q3,online_max_seconds_n,online_max_seconds_min,online_max_seconds_max,online_max_seconds_mean,online_max_seconds_median,online_max_seconds_stdev,online_max_seconds_q1,online_max_seconds_q3,offline_total_seconds_n,offline_total_seconds_min,offline_total_seconds_max,offline_total_seconds_mean,offline_total_seconds_median,offline_total_seconds_stdev,offline_total_seconds_q1,offline_total_seconds_q3,conformance_total_seconds_n,conformance_total_seconds_min,conformance_total_seconds_max,conformance_total_seconds_mean,conformance_total_seconds_median,conformance_total_seconds_stdev,conformance_total_seconds_q1,conformance_total_seconds_q3,wall_seconds_n,wall_seconds_min,wall_seconds_max,wall_seconds_mean,wall_seconds_median,wall_seconds_stdev,wall_seconds_q1,wall_seconds_q3
component_scale_online,smt_smt,orders_01_interleaved.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,2.2940531000000135,2.2940531000000135,2.2940531000000135,2.2940531000000135,0.0,2.2940531000000135,2.2940531000000135,1,0.4588106200000027,0.4588106200000027,0.4588106200000027,0.4588106200000027,0.0,0.4588106200000027,0.4588106200000027,1,0.5464807000000036,0.5464807000000036,0.5464807000000036,0.5464807000000036,0.0,0.5464807000000036,0.5464807000000036,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2940531000000135,2.2940531000000135,2.2940531000000135,2.2940531000000135,0.0,2.2940531000000135,2.2940531000000135,1,2.6261815000000013,2.6261815000000013,2.6261815000000013,2.6261815000000013,0.0,2.6261815000000013,2.6261815000000013
component_scale_online,smt_smt,orders_02_interleaved.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,4.796760800000001,4.796760800000001,4.796760800000001,4.796760800000001,0.0,4.796760800000001,4.796760800000001,1,0.4796760800000001,0.4796760800000001,0.4796760800000001,0.4796760800000001,0.0,0.4796760800000001,0.4796760800000001,1,0.6361657000000065,0.6361657000000065,0.6361657000000065,0.6361657000000065,0.0,0.6361657000000065,0.6361657000000065,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.796760800000001,4.796760800000001,4.796760800000001,4.796760800000001,0.0,4.796760800000001,4.796760800000001,1,5.139389899999998,5.139389899999998,5.139389899999998,5.139389899999998,0.0,5.139389899999998,5.139389899999998
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,12.47298010000003,12.47298010000003,12.47298010000003,12.47298010000003,0.0,12.47298010000003,12.47298010000003,1,0.49891920400000117,0.49891920400000117,0.49891920400000117,0.49891920400000117,0.0,0.49891920400000117,0.49891920400000117,1,0.7328318999999794,0.7328318999999794,0.7328318999999794,0.7328318999999794,0.0,0.7328318999999794,0.7328318999999794,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.47298010000003,12.47298010000003,12.47298010000003,12.47298010000003,0.0,12.47298010000003,12.47298010000003,1,12.967507400000002,12.967507400000002,12.967507400000002,12.967507400000002,0.0,12.967507400000002,12.967507400000002
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,26.044813000000005,26.044813000000005,26.044813000000005,26.044813000000005,0.0,26.044813000000005,26.044813000000005,1,0.5208962600000001,0.5208962600000001,0.5208962600000001,0.5208962600000001,0.0,0.5208962600000001,0.5208962600000001,1,0.6526238000000149,0.6526238000000149,0.6526238000000149,0.6526238000000149,0.0,0.6526238000000149,0.6526238000000149,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26.044813000000005,26.044813000000005,26.044813000000005,26.044813000000005,0.0,26.044813000000005,26.044813000000005,1,26.82025299999998,26.82025299999998,26.82025299999998,26.82025299999998,0.0,26.82025299999998,26.82025299999998
component_scale_online,smt_smt,orders_20_interleaved.jsonocel,,1,1,0,0,0,0,0,,fresh_offline_alignment,1,48.43674299999992,48.43674299999992,48.43674299999992,48.43674299999992,0.0,48.43674299999992,48.43674299999992,1,0.4843674299999992,0.4843674299999992,0.4843674299999992,0.4843674299999992,0.0,0.4843674299999992,0.4843674299999992,1,0.7633804000000168,0.7633804000000168,0.7633804000000168,0.7633804000000168,0.0,0.7633804000000168,0.7633804000000168,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,48.43674299999992,48.43674299999992,48.43674299999992,48.43674299999992,0.0,48.43674299999992,48.43674299999992,1,50.129545199999995,50.129545199999995,50.129545199999995,50.129545199999995,0.0,50.129545199999995,50.129545199999995
components_online,smt_smt,component_001_events_0030_objects_0020.jsonocel,,1,0,0,0,0,0,0,,fresh_offline_alignment,1,35.93603990000065,35.93603990000065,35.93603990000065,35.93603990000065,0.0,35.93603990000065,35.93603990000065,1,1.3821553807692557,1.3821553807692557,1.3821553807692557,1.3821553807692557,0.0,1.3821553807692557,1.3821553807692557,1,3.9094724000001406,3.9094724000001406,3.9094724000001406,3.9094724000001406,0.0,3.9094724000001406,3.9094724000001406,,,,,,,,,1,35.93603990000065,35.93603990000065,35.93603990000065,35.93603990000065,0.0,35.93603990000065,35.93603990000065,1,96.73916809999992,96.73916809999992,96.73916809999992,96.73916809999992,0.0,96.73916809999992,96.73916809999992
components_online,smt_smt,component_002_events_0028_objects_0013.jsonocel,,1,0,0,0,0,0,0,,fresh_offline_alignment,1,69.50408590000006,69.50408590000006,69.50408590000006,69.50408590000006,0.0,69.50408590000006,69.50408590000006,1,4.088475641176474,4.088475641176474,4.088475641176474,4.088475641176474,0.0,4.088475641176474,4.088475641176474,1,19.480875600000218,19.480875600000218,19.480875600000218,19.480875600000218,0.0,19.480875600000218,19.480875600000218,,,,,,,,,1,69.50408590000006,69.50408590000006,69.50408590000006,69.50408590000006,0.0,69.50408590000006,69.50408590000006,1,131.0850833999998,131.0850833999998,131.0850833999998,131.0850833999998,0.0,131.0850833999998,131.0850833999998
components_online,smt_smt,component_003_events_0022_objects_0011.jsonocel,,1,0,0,0,0,0,0,,fresh_offline_alignment,1,180.80001309999898,180.80001309999898,180.80001309999898,180.80001309999898,0.0,180.80001309999898,180.80001309999898,1,15.066667758333248,15.066667758333248,15.066667758333248,15.066667758333248,0.0,15.066667758333248,15.066667758333248,1,49.87993869999991,49.87993869999991,49.87993869999991,49.87993869999991,0.0,49.87993869999991,49.87993869999991,,,,,,,,,1,180.80001309999898,180.80001309999898,180.80001309999898,180.80001309999898,0.0,180.80001309999898,180.80001309999898,1,241.4820451000005,241.4820451000005,241.4820451000005,241.4820451000005,0.0,241.4820451000005,241.4820451000005
components_online,smt_smt,component_004_events_0013_objects_0009.jsonocel,,1,0,0,0,0,0,0,,fresh_offline_alignment,1,60.81539460000022,60.81539460000022,60.81539460000022,60.81539460000022,0.0,60.81539460000022,60.81539460000022,1,6.081539460000021,6.081539460000021,6.081539460000021,6.081539460000021,0.0,6.081539460000021,6.081539460000021,1,17.66439840000021,17.66439840000021,17.66439840000021,17.66439840000021,0.0,17.66439840000021,17.66439840000021,,,,,,,,,1,60.81539460000022,60.81539460000022,60.81539460000022,60.81539460000022,0.0,60.81539460000022,60.81539460000022,1,122.44826030000058,122.44826030000058,122.44826030000058,122.44826030000058,0.0,122.44826030000058,122.44826030000058
components_online,smt_smt,component_005_events_0035_objects_0016.jsonocel,,1,0,0,0,0,0,0,,fresh_offline_alignment,1,239.93752699999914,239.93752699999914,239.93752699999914,239.93752699999914,0.0,239.93752699999914,239.93752699999914,1,17.138394785714222,17.138394785714222,17.138394785714222,17.138394785714222,0.0,17.138394785714222,17.138394785714222,1,59.38674540000011,59.38674540000011,59.38674540000011,59.38674540000011,0.0,59.38674540000011,59.38674540000011,,,,,,,,,1,239.93752699999914,239.93752699999914,239.93752699999914,239.93752699999914,0.0,239.93752699999914,239.93752699999914,1,300.60563509999974,300.60563509999974,300.60563509999974,300.60563509999974,0.0,300.60563509999974,300.60563509999974
