file,result_file,returncode,online_status,offline_status,offline_semantics,native_crash_retry_count,native_crash_attempts,prefix_feasible,prefix_total,prefix_control_flow,prefix_data,prefix_object,prefix_encode_seconds,prefix_solve_seconds,offline_feasible,offline_total,offline_control_flow,offline_data,offline_object,offline_encode_seconds,offline_solve_seconds,online_updates,online_total_seconds,online_avg_seconds,online_max_seconds,offline_total_seconds,conformance_total_seconds,prefix_timing_count,wall_seconds,experiment,combo,repetition,observation_timeout,observation_timeout_seconds,observation_elapsed_seconds,timeout_update,timeout_stream_position,timeout_component,timeout_event_id,timeout_activity,timeout_event_objects,timeout_component_events,timeout_component_objects,prefix_count,partial_result_saved,completed_stream_units,total_stream_units,completed_online_updates,last_completed_stream_position,error_file
07_extra_ship_event.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\comprehensive_online\smt_smt\run_001\07_extra_ship_event.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,3,3,0,0,0.1445469000000088,0.07792640000000972,,,,,,,,3,0.7299419,0.2433139666666667,0.27178499999999417,0,0.7299419,3,1.0172061999999897,comprehensive_online,smt_smt,1,,,,,,,,,,,,,,,,,,
08_wrong_order_ship_before_place_order.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\comprehensive_online\smt_smt\run_001\08_wrong_order_ship_before_place_order.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,3,3,0,0,0.1355132999999995,0.08492329999999981,,,,,,,,2,0.5082410999999922,0.2541205499999961,0.27466889999999466,0,0.5082410999999922,2,0.8184911000000028,comprehensive_online,smt_smt,1,,,,,,,,,,,,,,,,,,
09_unmodeled_cancel_event.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\comprehensive_online\smt_smt\run_001\09_unmodeled_cancel_event.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,1,0,0,0.15200299999999345,0.0677082999999925,,,,,,,,3,0.715662800000004,0.238554266666668,0.2688418000000041,0,0.715662800000004,3,1.0168014000000056,comprehensive_online,smt_smt,1,,,,,,,,,,,,,,,,,,
10_object_attributes_and_unreferenced_object.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\comprehensive_online\smt_smt\run_001\10_object_attributes_and_unreferenced_object.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,0,0,0,0,0.14090369999999552,0.06720659999999157,,,,,,,,2,0.5158084999999915,0.2579042499999957,0.2648406999999935,0,0.5158084999999915,2,0.8156005999999962,comprehensive_online,smt_smt,1,,,,,,,,,,,,,,,,,,
11_two_independent_components.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\comprehensive_online\smt_smt\run_001\11_two_independent_components.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,0,0,0,0,0.09077829999999665,0.03885760000000005,,,,,,,,4,0.8024263000000076,0.2006065750000019,0.24755919999999776,0,0.8024263000000076,4,1.1193377999999967,comprehensive_online,smt_smt,1,,,,,,,,,,,,,,,,,,
12_component_merge_stress.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\comprehensive_online\smt_smt\run_001\12_component_merge_stress.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,4,4,0,0,0.23582459999998662,0.172770799999995,,,,,,,,3,0.7959853999999922,0.26532846666666404,0.47511670000000095,0,0.7959853999999922,3,1.1182796000000081,comprehensive_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_020_budget.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_budget.json,124,OBSERVATION_TIMEOUT,NOT_RUN,fresh_offline_alignment,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,0,0,60.330241200000046,deviation_scale_extended_online,smt_smt,1,True,60.0,60.04354409999996,1,1,1,0,place order,21,1,21,0,True,0,23,0,,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_budget.error.txt
products_020_cost.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_cost.json,124,OBSERVATION_TIMEOUT,NOT_RUN,fresh_offline_alignment,0,0,True,0,0,0,0,6.554216099999849,19.359982400000035,,,,,,,,2,58.561717700000145,29.280858850000072,30.72463400000015,,58.561717700000145,2,118.94457450000004,deviation_scale_extended_online,smt_smt,1,True,60.0,60.02744740000003,3,3,1,2,pick item,2,3,21,2,True,2,23,2,2,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_cost.error.txt
products_020_early_place_data.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_early_place_data.json,124,OBSERVATION_TIMEOUT,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,6.587252900000067,36.5543090000001,,,,,,,,2,77.06189760000007,38.53094880000003,44.84576870000001,,77.06189760000007,2,137.43955460000006,deviation_scale_extended_online,smt_smt,1,True,60.0,60.021591400000034,3,3,1,2,pick item,2,3,21,2,True,2,23,2,2,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_early_place_data.error.txt
products_020_fit.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_fit.json,124,OBSERVATION_TIMEOUT,NOT_RUN,fresh_offline_alignment,0,0,True,0,0,0,0,6.602586999999858,30.12122599999998,,,,,,,,2,71.18949889999976,35.59474944999988,37.954327999999805,,71.18949889999976,2,131.5927901,deviation_scale_extended_online,smt_smt,1,True,60.0,60.05232950000004,3,3,1,2,pick item,2,3,21,2,True,2,23,2,2,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_fit.error.txt
